Player Name,Season,Team,Position,Rushes,EPA/Rush,Total EPA,Rush Yards,Rush TD,Yards Per Carry,Yards After Contact,Avg. Box Defenders,Success %,TFL %,Explosive %,First Down %,Receptions,Rec. Yards,Rec. TDs,YAC,Target Share
78. Zavier Scott,2025,,RB,32,-0.28,-9,114,0,3.56,80,6.94,40.63%,12.50%,0%,21.88%,14,98,1,105,3.57%
79. Christopher Brooks,2025,,RB,27,-0.18,-4.86,106,0,3.93,78,7.22,37.04%,7.41%,3.70%,62.96%,13,91,0,106,3.70%
80. Antonio Gibson,2025,,RB,25,-0.19,-4.7,106,1,4.24,65,7.76,44%,8%,8%,72%,2,6,0,16,2.01%
81. Raheem Mostert,2025,,RB,22,-0.41,-9.06,104,0,4.73,73,6.41,31.82%,13.64%,9.09%,127.27%,12,70,0,86,3.56%
82. D.J. Giddens,2025,,RB,26,0,0.02,96,0,3.69,63,7.31,42.31%,3.85%,3.85%,19.23%,0,0,0,0,0.73%
83. James Conner,2025,,RB,32,-0.09,-2.78,95,1,2.97,82,7.72,34.38%,6.25%,3.13%,21.88%,8,38,1,68,10.23%
84. Trevor Etienne,2025,,RB,20,-0.08,-1.57,94,0,4.7,60,7.35,35%,10%,10%,185%,3,13,0,11,0.63%
85. LeQuint Allen,2025,,RB,23,-0.14,-3.23,94,0,4.09,59,7.48,26.09%,0%,4.35%,139.13%,10,54,0,61,2.01%
86. Justice Hill,2025,,RB,18,-0.07,-1.25,93,2,5.17,101,6.94,27.78%,22.22%,5.56%,61.11%,21,169,1,184,10.76%
87. Raheim Sanders,2025,,RB,27,0.03,0.9,92,1,3.41,79,7.78,40.74%,3.70%,3.70%,25.93%,3,21,0,14,2.40%
88. British Brooks,2025,,RB,17,0.13,2.17,78,0,4.59,65,7.94,47.06%,0%,5.88%,94.12%,0,0,0,0,0%
89. Braelon Allen,2025,,RB,18,-0.43,-7.75,76,1,4.22,49,7.39,33.33%,11.11%,5.56%,50%,2,17,0,9,2.88%
90. Jerome Ford,2025,,RB,24,-0.13,-3.02,73,0,3.04,62,6.88,33.33%,8.33%,4.17%,75%,26,103,0,154,7.62%
91. George Holani,2025,,RB,22,-0.42,-9.35,73,1,3.32,53,7.5,22.73%,9.09%,0%,113.64%,2,15,0,16,0.70%
92. Terrell Jennings,2025,,RB,23,0.1,2.39,73,1,3.17,46,8.39,34.78%,0%,0%,56.52%,1,9,0,7,0.45%
93. Hunter Luepke,2025,,RB,16,-0.1,-1.6,71,0,4.44,48,7,56.25%,0%,0%,106.25%,13,109,1,119,2.47%
94. Kaleb Johnson,2025,,RB,28,-0.28,-7.72,69,0,2.46,75,7.46,25%,14.29%,0%,35.71%,1,9,0,14,0.50%
95. Najee Harris,2025,,RB,15,-0.02,-0.34,61,0,4.07,53,7.67,46.67%,6.67%,0%,20%,3,25,0,15,2.83%
96. A.J. Dillon,2025,,RB,12,-0.01,-0.17,60,0,5,40,7.17,41.67%,0%,0%,50%,3,21,0,9,1.38%
97. Nate Carter,2025,,RB,9,-0.18,-1.63,60,0,6.67,31,6.44,55.56%,0%,11.11%,55.56%,0,0,0,0,0%
98. Ameer Abdullah,2025,,RB,14,0.07,0.95,60,1,4.29,43,7,35.71%,0%,7.14%,192.86%,16,99,0,105,4.14%
99. Corey Kiner,2025,,RB,12,0.16,1.89,58,0,4.83,37,7.58,50%,0%,0%,41.67%,2,15,0,6,1.72%
100. Khalil Herbert,2025,,RB,16,-0.14,-2.27,52,0,3.25,36,7.19,31.25%,6.25%,0%,31.25%,1,4,0,9,1.56%
101. Will Shipley,2025,,RB,14,-0.26,-3.6,49,0,3.5,24,6.92,28.57%,14.29%,7.14%,271.43%,9,56,0,63,2.91%
102. Kene Nwangwu,2025,,RB,13,-0.24,-3.18,49,0,3.77,31,7.85,38.46%,15.38%,7.69%,153.85%,0,0,0,0,0.32%
103. Evan Hull,2025,,RB,19,-0.41,-7.72,48,0,2.53,40,6.89,15.79%,5.26%,0%,47.37%,1,6,0,10,0.52%
104. Hassan Haskins,2025,,RB,17,-0.17,-2.89,47,0,2.76,33,7.59,17.65%,0%,0%,117.65%,4,13,0,16,0.97%
105. Ty Chandler,2025,,RB,17,-0.32,-5.51,47,0,2.76,41,7.59,17.65%,5.88%,0%,23.53%,3,11,0,27,6.25%
106. Ronnie Rivers,2025,,RB,9,-0.12,-1.09,46,0,5.11,28,8,55.56%,0%,0%,211.11%,0,0,0,0,0%
107. Tahj Brooks,2025,,RB,16,-0.25,-4.07,45,0,2.81,34,7.38,25%,0%,0%,93.75%,1,9,0,11,0.35%
108. Austin Ekeler,2025,,RB,14,-0.08,-1.17,43,0,3.07,30,6.57,35.71%,7.14%,0%,21.43%,5,38,0,49,10.14%
109. Julius Chestnut,2025,,RB,11,-0.29,-3.24,40,0,3.64,19,8.18,36.36%,9.09%,9.09%,172.73%,0,0,0,0,0.38%
