,,,,,,,Receiving,,,,,,,,,,,,,,,
Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
173,Quinshon Judkins,22,CLE,RB,13,13,30,21,142,5,-20,-1,162,7.7,-0.5,0,,0,0,0,80.1,
174,Kyle Juszczyk,34,SFO,FB,14,14,24,21,194,9,91,4.3,103,4.9,4.5,1,21,0,0,0,114.2,
175,Woody Marks,25,HOU,RB,14,6,31,21,204,7,-11,-0.5,215,10.2,1.6,3,7,2,6.5,0,118.2,
176,David Montgomery,28,DET,RB,14,0,26,21,164,9,-2,-0.1,166,7.9,0.7,0,,0,0,0,92.9,
177,Luke Musgrave,25,GNB,TE,14,9,28,21,214,9,154,7.3,60,2.9,8.5,0,,1,3.6,0,96.4,
178,Mike Evans,32,TAM,WR,5,5,44,20,272,16,244,12.2,28,1.4,13.9,0,,2,4.5,1,63.8,
179,Chris Godwin,29,TAM,WR,6,4,36,20,214,12,100,5,114,5.7,7.7,1,20,1,2.8,1,70.8,
180,Tyler Higbee,32,LAR,TE,9,7,30,20,190,12,61,3.1,129,6.5,4.3,0,,2,6.7,0,106.2,
181,Elijah Higgins,25,ARI,TE,14,8,25,20,182,8,47,2.4,135,6.8,3.2,4,5,0,0,1,80.3,
182,Jeremy Ruckert,25,NYJ,TE,14,12,23,20,163,8,71,3.6,92,4.6,3.7,0,,1,4.3,0,110.7,
183,Darren Waller,33,MIA,TE,7,2,26,20,243,16,173,8.7,70,3.5,10.4,0,,0,0,0,144.7,
184,Brandin Cooks,32,2TM,WR,13,5,29,20,178,11,141,7.1,37,1.9,12.2,0,,2,6.9,0,85.1,
184,Brandin Cooks,32,NOR,WR,10,3,25,19,165,10,128,6.7,37,1.9,9.2,0,,1,4,0,92.9,
184,Brandin Cooks,32,BUF,WR,3,2,4,1,13,1,13,13,0,0,30.5,0,,1,25,0,40.6,
185,Dyami Brown,26,JAX,WR,12,6,36,19,219,12,188,9.9,31,1.6,14.2,0,,5,13.9,1,69.1,
186,Ty Johnson,28,BUF,RB,14,0,27,19,210,9,-36,-1.9,246,12.9,-1.2,3,6.3,2,7.4,0,105.5,
187,Jeremy McNichols,30,WAS,RB,14,1,24,19,167,9,-23,-1.2,190,10,-0.8,2,9.5,1,4.2,1,78.3,
188,Josh Palmer,26,BUF,WR,9,6,31,19,288,13,243,12.8,45,2.4,13,0,,0,0,2,65,
189,Brashard Smith,22,KAN,RB,14,0,26,19,161,6,-41,-2.2,202,10.6,-0.7,0,,1,3.8,0,88.8,
190,Tyquan Thornton,25,KAN,WR,14,4,37,19,438,15,379,19.9,59,3.1,26.9,0,,3,8.1,0,121.2,
191,Rashod Bateman,26,BAL,WR,11,10,35,18,217,12,181,10.1,36,2,12.4,0,,3,8.6,1,77.9,
192,Jack Bech,23,LVR,WR,14,4,24,18,181,10,130,7.2,51,2.8,8.2,1,18,1,4.2,1,78.6,
193,DeAndre Hopkins,33,BAL,WR,14,3,31,18,289,12,229,12.7,60,3.3,14.3,0,,0,0,0,110.8,
194,Malik Nabers,22,NYG,WR,4,4,35,18,271,11,219,12.2,52,2.9,15.9,0,,1,2.9,2,72.4,
195,Cedric Tillman,25,CLE,WR,10,7,35,18,197,11,161,8.9,36,2,11.3,0,,1,2.9,2,63.6,
196,Noah Gray,26,KAN,TE,13,5,31,17,146,7,54,3.2,92,5.4,6.5,0,,3,9.7,0,67.4,
197,Devin Neal,22,NOR,RB,10,3,19,17,104,4,-34,-2,138,8.1,-2,2,8.5,1,5.3,0,89.5,
198,Calvin Ridley,31,TEN,WR,7,6,36,17,303,13,219,12.9,84,4.9,12.8,0,,4,11.1,1,64.9,
199,Jordan Whittington,25,LAR,WR,14,6,24,17,152,6,72,4.2,80,4.7,6.6,1,17,2,8.3,0,87.5,
200,Tyler Badie,25,DEN,RB,13,0,26,16,111,7,-53,-3.3,164,10.3,-0.7,0,,4,15.4,0,71.2,
201,Isaiah Bond,21,CLE,WR,13,2,41,16,288,9,231,14.4,57,3.6,16.7,1,16,3,7.3,1,53.7,
202,Isaiah Davis,23,NYJ,RB,14,0,23,16,125,6,13,0.8,112,7,2.1,1,16,1,4.3,0,82.7,
203,Austin Hooper,31,NWE,TE,13,6,19,16,213,11,134,8.4,79,4.9,8.9,0,,0,0,0,130.9,
204,Tanner Hudson,31,CIN,TE,12,1,21,16,133,6,77,4.8,56,3.5,5.3,1,16,0,0,1,103.9,
205,Jaylin Lane,23,WAS,WR,14,3,32,16,225,10,186,11.6,39,2.4,13.3,0,,1,3.1,2,47,
206,Kalif Raymond,31,DET,WR,12,3,20,16,170,8,100,6.3,70,4.4,6.9,1,16,0,0,0,102.1,
207,Adam Trautman,28,DEN,TE,14,11,18,16,157,9,61,3.8,96,6,3.3,3,5.3,1,5.6,0,121.5,
208,Elijah Arroyo,22,SEA,TE,13,4,26,15,179,7,101,6.7,78,5.2,8.5,0,,1,3.8,3,52.1,
209,Daniel Bellinger,25,NYG,TE,13,7,21,15,237,12,150,10,87,5.8,10.9,0,,1,4.8,0,124.5,
210,Greg Dulcich,25,MIA,TE,7,1,20,15,200,9,85,5.7,115,7.7,5,0,,0,0,0,106.2,
211,Derrick Henry,31,BAL,RB,14,14,20,15,150,4,15,1,135,9,1,1,15,1,5,1,75,
212,Kareem Hunt,30,KAN,RB,14,4,21,15,122,8,-10,-0.7,132,8.8,0.4,2,7.5,1,4.8,1,81.8,
