Player Name,Season,Team,Plays,Total EPA,EPA/Play,Pass EPA,Rush EPA,Scramble %,Sack %,Success %,ADoT,Comp %,Pass Yards,Time To Throw,Pass TD,INT,YPA,Rush Yards,Rush TD
67. Kenny Pickett,2025,,58,-32.01,-0.55,-28.79,-3.22,5.36%,14.29%,29.31%,5.89,62.22%,188,2.57,1,2,4.18,22,0
68. Chris Oladokun,2025,,68,-35.69,-0.52,-30.12,-5.57,5.97%,11.94%,25%,5.33,63.64%,235,2.83,1,0,4.27,18,0
69. Trey Lance,2025,,80,-38.21,-0.48,-39.47,1.25,10%,8.57%,28.75%,10.7,47.37%,226,2.45,0,1,3.96,85,0
70. Dillon Gabriel,2025,,218,-43.52,-0.2,-43.95,0.43,5.12%,8.84%,32.11%,5.96,59.46%,937,2.56,7,2,5.06,86,0
71. Joe Flacco,2025,,455,-45.56,-0.1,-50.98,5.42,0.91%,4.11%,41.10%,7.89,60.34%,2479,2.57,15,10,5.96,35,1
72. Jake Browning,2025,,143,-46.1,-0.32,-52.89,6.79,2.90%,6.52%,40.56%,7.99,64.80%,771,2.73,6,8,6.17,39,1
73. J.J. McCarthy,2025,,307,-46.46,-0.15,-53.26,6.8,5.92%,9.41%,41.04%,9,57.61%,1632,2.82,11,12,6.72,181,4
74. Max Brosmer,2025,,92,-58.66,-0.64,-58.54,-0.12,2.30%,16.09%,26.09%,4.59,66.20%,328,2.55,0,4,4.62,11,0
75. Shedeur Sanders,2025,,256,-59.5,-0.23,-70.23,10.73,7.11%,9.09%,36.72%,7.82,56.60%,1400,3.09,7,10,6.6,169,1
76. Brady Cook,2025,,185,-73.69,-0.4,-69.4,-4.29,3.91%,10.61%,31.89%,5.86,57.52%,739,2.41,2,7,4.83,49,0
77. Geno Smith,2025,,544,-74.7,-0.14,-73.03,-1.67,3.45%,10.56%,41.91%,6.46,67.41%,3025,2.61,19,17,6.75,109,0
78. Cameron Ward,2025,,634,-104.76,-0.17,-113.25,8.49,3.72%,8.90%,37.85%,7.81,59.81%,3169,2.82,15,7,5.87,159,2
